subject,session,task,run,trial_idx,imageid,onset,beta_path
01,001,recognition,1,0,A1,10.0,./sweep_runs/mag_7/beta_maps/sub-01_ses-001_task-recognition_run-01_trial-000_beta.nii.gz
01,001,recognition,1,1,B1,30.0,./sweep_runs/mag_7/beta_maps/sub-01_ses-001_task-recognition_run-01_trial-001_beta.nii.gz
01,001,recognition,1,2,B1,46.0,./sweep_runs/mag_7/beta_maps/sub-01_ses-001_task-recognition_run-01_trial-002_beta.nii.gz
01,001,recognition,1,3,B2,62.0,./sweep_runs/mag_7/beta_maps/sub-01_ses-001_task-recognition_run-01_trial-003_beta.nii.gz
01,001,recognition,1,4,B2,66.0,./sweep_runs/mag_7/beta_maps/sub-01_ses-001_task-recognition_run-01_trial-004_beta.nii.gz
01,001,recognition,1,5,A2,88.0,./sweep_runs/mag_7/beta_maps/sub-01_ses-001_task-recognition_run-01_trial-005_beta.nii.gz
01,001,recognition,1,6,B1,106.0,./sweep_runs/mag_7/beta_maps/sub-01_ses-001_task-recognition_run-01_trial-006_beta.nii.gz
01,001,recognition,1,7,A2,128.0,./sweep_runs/mag_7/beta_maps/sub-01_ses-001_task-recognition_run-01_trial-007_beta.nii.gz
01,001,recognition,1,8,A1,144.0,./sweep_runs/mag_7/beta_maps/sub-01_ses-001_task-recognition_run-01_trial-008_beta.nii.gz
01,001,recognition,1,9,A2,160.0,./sweep_runs/mag_7/beta_maps/sub-01_ses-001_task-recognition_run-01_trial-009_beta.nii.gz
01,001,recognition,1,10,B2,178.0,./sweep_runs/mag_7/beta_maps/sub-01_ses-001_task-recognition_run-01_trial-010_beta.nii.gz
01,001,recognition,1,11,A1,194.0,./sweep_runs/mag_7/beta_maps/sub-01_ses-001_task-recognition_run-01_trial-011_beta.nii.gz
